X,Y,lat,lon,PROFUNDIDA,CLASSES
-46.25,-25.25,-25.250000000000000,-46.250000000000000,-50 a -75 m,Faixa
-47.25,-25.5,-25.500000000000000,-47.250000000000000,-50 a -75 m,Faixa
-47.0,-25.5,-25.500000000000000,-47.000000000000000,-50 a -75 m,Faixa
-46.75,-25.5,-25.500000000000000,-46.750000000000000,-50 a -75 m,Faixa
-46.5,-25.5,-25.500000000000000,-46.500000000000000,-50 a -75 m,Faixa
-47.5,-25.75,-25.750000000000000,-47.500000000000000,-50 a -75 m,Faixa
-47.25,-25.75,-25.750000000000000,-47.250000000000000,-50 a -75 m,Faixa
-47.0,-25.75,-25.750000000000000,-47.000000000000000,-50 a -75 m,Faixa
-47.75,-26.0,-26.000000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.5,-26.0,-26.000000000000000,-47.500000000000000,-50 a -75 m,Faixa
-47.25,-26.0,-26.000000000000000,-47.250000000000000,-50 a -75 m,Faixa
-48.0,-26.25,-26.250000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,-26.25,-26.250000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.5,-26.25,-26.250000000000000,-47.500000000000000,-50 a -75 m,Faixa
-47.25,-26.25,-26.250000000000000,-47.250000000000000,-50 a -75 m,Faixa
-48.25,-26.5,-26.500000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48.0,-26.5,-26.500000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,-26.5,-26.500000000000000,-47.750000000000000,-50 a -75 m,Faixa
-47.5,-26.5,-26.500000000000000,-47.500000000000000,-50 a -75 m,Faixa
-48.0,-26.75,-26.750000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,-26.75,-26.750000000000000,-47.750000000000000,-50 a -75 m,Faixa
-48,-27,-27.000000000000000,-48.000000000000000,-50 a -75 m,Faixa
-47.75,-27.0,-27.000000000000000,-47.750000000000000,-50 a -75 m,Faixa
-48.25,-27.25,-27.250000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48.0,-27.25,-27.250000000000000,-48.000000000000000,-50 a -75 m,Faixa
-48.25,-27.5,-27.500000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48.0,-27.75,-27.750000000000000,-48.000000000000000,-50 a -75 m,Faixa
-48.25,-28.0,-28.000000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48,-28,-28.000000000000000,-48.000000000000000,-50 a -75 m,Faixa
-48.5,-28.25,-28.250000000000000,-48.500000000000000,-50 a -75 m,Faixa
-48.25,-28.25,-28.250000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48.5,-28.5,-28.500000000000000,-48.500000000000000,-50 a -75 m,Faixa
-48.25,-28.5,-28.500000000000000,-48.250000000000000,-50 a -75 m,Faixa
-48.75,-28.75,-28.750000000000000,-48.750000000000000,-50 a -75 m,Faixa
-48.5,-28.75,-28.750000000000000,-48.500000000000000,-50 a -75 m,Faixa
-48.75,-29.0,-29.000000000000000,-48.750000000000000,-50 a -75 m,Faixa
-49.0,-29.25,-29.250000000000000,-49.000000000000000,-50 a -75 m,Faixa
-48.75,-29.25,-29.250000000000000,-48.750000000000000,-50 a -75 m,Faixa
-49.25,-29.5,-29.500000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49.0,-29.5,-29.500000000000000,-49.000000000000000,-50 a -75 m,Faixa
-49.25,-29.75,-29.750000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49.0,-29.75,-29.750000000000000,-49.000000000000000,-50 a -75 m,Faixa
-49.5,-30.0,-30.000000000000000,-49.500000000000000,-50 a -75 m,Faixa
-49.25,-30.0,-30.000000000000000,-49.250000000000000,-50 a -75 m,Faixa
-49.75,-30.25,-30.250000000000000,-49.750000000000000,-50 a -75 m,Faixa
-49.5,-30.25,-30.250000000000000,-49.500000000000000,-50 a -75 m,Faixa
-49.75,-30.5,-30.500000000000000,-49.750000000000000,-50 a -75 m,Faixa
-50.0,-30.75,-30.750000000000000,-50.000000000000000,-50 a -75 m,Faixa
-50.25,-31.0,-31.000000000000000,-50.250000000000000,-50 a -75 m,Faixa
-50.5,-31.25,-31.250000000000000,-50.500000000000000,-50 a -75 m,Faixa
-50.75,-31.5,-31.500000000000000,-50.750000000000000,-50 a -75 m,Faixa
-50.5,-31.5,-31.500000000000000,-50.500000000000000,-50 a -75 m,Faixa
-50.75,-31.75,-31.750000000000000,-50.750000000000000,-50 a -75 m,Faixa
-50.5,-31.75,-31.750000000000000,-50.500000000000000,-50 a -75 m,Faixa
-51,-32,-32.000000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,-32.0,-32.000000000000000,-50.750000000000000,-50 a -75 m,Faixa
-50.5,-32.0,-32.000000000000000,-50.500000000000000,-50 a -75 m,Faixa
-51.25,-32.25,-32.250000000000000,-51.250000000000000,-50 a -75 m,Faixa
-51.0,-32.25,-32.250000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,-32.25,-32.250000000000000,-50.750000000000000,-50 a -75 m,Faixa
-50.5,-32.25,-32.250000000000000,-50.500000000000000,-50 a -75 m,Faixa
-51.25,-32.5,-32.500000000000000,-51.250000000000000,-50 a -75 m,Faixa
-51.0,-32.5,-32.500000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,-32.5,-32.500000000000000,-50.750000000000000,-50 a -75 m,Faixa
-51.25,-32.75,-32.750000000000000,-51.250000000000000,-50 a -75 m,Faixa
-51.0,-32.75,-32.750000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,-32.75,-32.750000000000000,-50.750000000000000,-50 a -75 m,Faixa
-51.5,-33.0,-33.000000000000000,-51.500000000000000,-50 a -75 m,Faixa
-51.25,-33.0,-33.000000000000000,-51.250000000000000,-50 a -75 m,Faixa
-51,-33,-33.000000000000000,-51.000000000000000,-50 a -75 m,Faixa
-50.75,-33.0,-33.000000000000000,-50.750000000000000,-50 a -75 m,Faixa
-52.0,-33.25,-33.250000000000000,-52.000000000000000,-50 a -75 m,Faixa
-51.75,-33.25,-33.250000000000000,-51.750000000000000,-50 a -75 m,Faixa
-51.5,-33.25,-33.250000000000000,-51.500000000000000,-50 a -75 m,Faixa
-51.25,-33.25,-33.250000000000000,-51.250000000000000,-50 a -75 m,Faixa
-51.0,-33.25,-33.250000000000000,-51.000000000000000,-50 a -75 m,Faixa
-52.0,-33.5,-33.500000000000000,-52.000000000000000,-50 a -75 m,Faixa
-51.75,-33.5,-33.500000000000000,-51.750000000000000,-50 a -75 m,Faixa
-51.5,-33.5,-33.500000000000000,-51.500000000000000,-50 a -75 m,Faixa
-51.25,-33.5,-33.500000000000000,-51.250000000000000,-50 a -75 m,Faixa
-52.25,-33.75,-33.750000000000000,-52.250000000000000,-50 a -75 m,Faixa
-51.75,-33.75,-33.750000000000000,-51.750000000000000,-50 a -75 m,Faixa
-52.5,-34.0,-34.000000000000000,-52.500000000000000,-50 a -75 m,Faixa
-51.75,-34.0,-34.000000000000000,-51.750000000000000,-50 a -75 m,Faixa
-52.25,-34.25,-34.250000000000000,-52.250000000000000,-50 a -75 m,Faixa
